"","username","inputvalue","expected","label","firstlanguage","hearing","environment","equipment","experiment","foreignlanguages","startdate","enddate","acc_rating"
"39","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"40","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"41","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"42","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"43","ANBE24","z","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"44","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"45","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"46","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"47","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"48","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"49","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"50","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"51","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"52","ANBE24","z","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"53","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"54","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"55","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"56","ANBE24","z","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"57","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"58","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"59","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"60","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"61","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"62","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"63","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"64","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"65","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"66","ANBE24","s","s","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"67","ANBE24","z","z","<p>Did you hear ""s"" or ""z""?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,1
"68","ANBE24","…neutral","null","This experiment was…","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"69","ANBE24","Yes","null","<p>Did you hear a difference?</p>","English","normal","office","in-ear","Fricatives #1","Danish, Spanish, Chinese, French",2021-10-26,2021-10-26,0
"70","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"71","TANA27","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"72","TANA27","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"73","TANA27","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"74","TANA27","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"75","TANA27","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"76","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"77","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"78","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"79","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"80","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"81","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"82","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"83","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"84","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"85","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"86","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"87","TANA27","Ok, continue","s","<p>Now you will hear ""s"" as in the first sound of ""see"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"88","TANA27","Ok, continue","z","<p>Now you will hear ""z"" as in the first sound of ""zoo"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"89","TANA27","Maybe","null","<p>Did you hear a difference?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"90","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"91","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"92","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"93","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"94","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"95","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"96","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"97","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"98","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"99","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"100","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"101","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"102","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"103","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"104","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"105","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"106","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"107","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"108","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"109","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"110","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"111","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"112","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"113","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"114","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"115","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"116","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"117","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"118","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"119","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"120","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"121","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"122","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"123","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"124","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"125","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"126","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"127","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"128","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"129","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"130","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"131","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"132","TANA27","…neutral","null","This experiment was…","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"133","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"134","TANA27","z","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"135","TANA27","s","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,0
"136","TANA27","s","s","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"137","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"138","TANA27","z","z","<p>Did you hear ""s"" or ""z""?</p>","Danish","normal","office","headphones","Fricatives #1","1. English 2.Thai 3.French",2021-10-26,2021-10-26,1
"139","vsla22","s","s","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"140","vsla22","s","z","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"141","vsla22","s","s","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"142","vsla22","s","z","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"143","vsla22","Ok, continue","s","<p>Now you will hear ""s"" as in the first sound of ""see"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"144","vsla22","Ok, continue","z","<p>Now you will hear ""z"" as in the first sound of ""zoo"".</p><p>Click on the icon or press the space bar to hear the audio.</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"145","vsla22","Maybe","null","<p>Did you hear a difference?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"146","vsla22","z","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"147","vsla22","z","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"148","vsla22","s","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"149","vsla22","s","z","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"150","vsla22","s","s","<p>Click on the icon or press the space bar to hear the audio.</p><p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"151","vsla22","s","s","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"152","vsla22","s","z","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"153","vsla22","s","s","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
"154","vsla22","s","z","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,0
"155","vsla22","s","s","<p>Did you hear ""s"" or ""z""?</p>","dansk","normal","office","headphones","Fricatives #1","english",2021-10-26,2021-10-26,1
